iib_code,eq_zone,eq_rate
4016,Zone III,0.1
4006,Zone III,0.1
4017,Zone III,0.1
4007,Zone III,0.1
4008,Zone III,0.1
4009,Zone III,0.1
4010,Zone III,0.1
4011,Zone III,0.1
1001,Zone IV,0.05
1001_2,Zone IV,0.05
1002,Zone IV,0.05
1003,Zone IV,0.05
1004,Zone IV,0.05
1005,Zone IV,0.05
1006,Zone IV,0.05
1007,Zone IV,0.05
1008,Zone IV,0.05
1009,Zone IV,0.05
1010,Zone IV,0.05
1011,Zone IV,0.05
1012,Zone IV,0.05
1013,Zone IV,0.05
1014,Zone IV,0.05
1015,Zone IV,0.05
1016,Zone IV,0.05
1029,Zone IV,0.05
1017,Zone IV,0.05
1018,Zone IV,0.05
1019,Zone IV,0.05
1020,Zone IV,0.05
1021,Zone IV,0.05
1022,Zone IV,0.05
1023,Zone IV,0.05
1024,Zone IV,0.05
1025,Zone IV,0.05
1026,Zone IV,0.05
1027,Zone IV,0.05
1028,Zone IV,0.05
2001,Zone IV,0.05
2002,Zone IV,0.05
2003,Zone IV,0.05
2004,Zone IV,0.05
2005,Zone IV,0.05
2006,Zone IV,0.05
2007,Zone IV,0.05
2008,Zone IV,0.05
2009,Zone IV,0.05
2010,Zone IV,0.05
2011,Zone IV,0.05
2012,Zone IV,0.05
2013,Zone IV,0.05
2212,Zone IV,0.05
2014,Zone IV,0.05
2015,Zone IV,0.05
2016,Zone IV,0.05
2017,Zone IV,0.05
2018,Zone IV,0.05
2019,Zone IV,0.05
2020,Zone IV,0.05
2021,Zone IV,0.05
2022,Zone IV,0.05
2023,Zone IV,0.05
2024,Zone IV,0.05
2025,Zone IV,0.05
2026,Zone IV,0.05
2027,Zone IV,0.05
2028,Zone IV,0.05
2029,Zone IV,0.05
2030,Zone IV,0.05
2031,Zone IV,0.05
2032,Zone IV,0.05
2033,Zone IV,0.05
2034,Zone IV,0.05
2035,Zone IV,0.05
2036,Zone IV,0.05
2037,Zone IV,0.05
2038,Zone IV,0.05
2039,Zone IV,0.05
2040,Zone IV,0.05
2041,Zone IV,0.05
2042,Zone IV,0.05
2043,Zone IV,0.05
2044,Zone IV,0.05
2045,Zone IV,0.05
2046,Zone IV,0.05
2047,Zone IV,0.05
2048,Zone IV,0.05
2049,Zone IV,0.05
2050,Zone IV,0.05
2051,Zone IV,0.05
2229,Zone IV,0.05
2230,Zone IV,0.05
2052,Zone IV,0.05
2053,Zone IV,0.05
2054,Zone IV,0.05
2055,Zone IV,0.05
2213,Zone IV,0.05
2056,Zone IV,0.05
2057,Zone IV,0.05
2058,Zone IV,0.05
2059,Zone IV,0.05
2060,Zone IV,0.05
2061,Zone IV,0.05
2209,Zone IV,0.05
2062,Zone IV,0.05
2063,Zone IV,0.05
2064,Zone IV,0.05
2065,Zone IV,0.05
2066,Zone IV,0.05
2067,Zone IV,0.05
2068,Zone IV,0.05
2069,Zone IV,0.05
2070,Zone IV,0.05
2210,Zone IV,0.05
2220,Zone IV,0.05
2217,Zone IV,0.05
2218,Zone IV,0.05
2219,Zone IV,0.05
2221,Zone IV,0.05
2071,Zone IV,0.05
2072,Zone IV,0.05
2073,Zone IV,0.05
2074,Zone IV,0.05
2075,Zone IV,0.05
2222,Zone IV,0.05
2223,Zone IV,0.05
2224,Zone IV,0.05
2225,Zone IV,0.05
2226,Zone IV,0.05
2227,Zone IV,0.05
2076,Zone IV,0.05
2228,Zone IV,0.05
2077,Zone IV,0.05
2078,Zone IV,0.05
2079,Zone IV,0.05
2080,Zone IV,0.05
2081,Zone IV,0.05
2082,Zone IV,0.05
2083,Zone IV,0.05
2084,Zone IV,0.05
2085,Zone IV,0.05
2086,Zone IV,0.05
2087,Zone IV,0.05
2088,Zone IV,0.05
